지점명,지점주소,경도,위도,횟수
DT성수 AS,서울 성동구 동일로 111,127.0637691,37.54263514,58811
DT미사 AS,경기 하남시 덕풍북로 192,127.2094439,37.55251454,48881
DT동대문 AS,서울 동대문구 고미술로 91,127.0566753,37.56491503,47408
NT전주 AS,전북 전주시 덕진구 신복로 180,127.0991651,35.86453373,47100
DT DAW AS,경기 수원시 권선구 권선로 308-5,126.9878388,37.25806784,42757
DT송파 AS,서울 송파구 도곡로 444,127.0776842,37.50497933,40182
DT구리 AS,경기 구리시 벌말로 166,127.1500037,37.59118199,39002
KL부천AS,경기 부천시 신흥로441번길 26,126.7745822,37.523774,38950
BV 송도 AS,인천 연수구 첨단대로124번길 74,126.6521481,37.36008074,32519
수원DAW,경기 수원시 권선구 권선로 308-5,126.987674,37.2582784,27100
KL대구AS,대구 동구 안심로55길 39,128.7156556,35.86978417,26198
KL대전AS,대전 대덕구 신탄진로315번길 20,127.4232074,36.40747138,25471
DS창원 AS,경남 창원시 마산회원구 봉양로 163,128.6045764,35.2182631,25104
KL의정부AS,경기 의정부시 동일로192번길 11,127.058113,37.70642226,24337
BV 계양 AS,인천 계양구 서운산단로2길 6,126.756749,37.53205052,23977
렌터카_화양,서울 광진구 광나루로14길 8,127.0686954,37.54781268,22545
DS해운대 AS,부산 해운대구 해운대해변로 299,129.1634777,35.16121487,22412
DT양재 AS,서울 서초구 논현로7길 7,127.0486742,37.47272435,22329
NT평택 AS,경기 안성시 원곡면 청원로 1797,127.119664,37.04095926,22195
SCL동탄 AS,경기 오산시 잔다리안길 28,127.0388487,37.18765894,21654
DT원주 AS,강원특별자치도 원주시 북원로 2803,127.9497221,37.39383421,21204
BV 강서 AS,서울 강서구 공항대로 59,126.8139765,37.56136073,18340
KL광주 AS,광주 남구 송암로24번길 55,126.8838832,35.11080955,17847
BV 자유로 AS,경기 고양시 일산서구 법곳길115번길 56-18,126.7226227,37.66077433,17255
DS서면 AS,부산 부산진구 동성로 135,129.0642083,35.16053593,16930
KL대치AS,서울 강남구 영동대로 340,127.0658301,37.50506456,16594
DT도곡 AS,서울 강남구 논현로28길 17,127.0436971,37.48321405,16109
DT성남 AS,경기 성남시 중원구 둔촌대로 356,127.157569,37.4315545,15484
DS사상 AS,부산 사상구 가야대로 163,128.990479,35.15004863,15377
KL순천 AS,전남 순천시 서면 백강로 609,127.5139694,34.98456715,14922
SCL군포 AS,경기 군포시 당정로27번길 11,126.9542584,37.35075649,14887
SCL안양 AS,경기 안양시 동안구 시민대로 116,126.945751,37.38677979,12817
DT제주 AS,제주특별자치도 제주시 동화로 66-2,126.5722067,33.51441475,11884
TA영등포 AS,서울 영등포구 영신로 224,126.9036609,37.52733579,10809
SCL청주 AS,충북 청주시 흥덕구 가로수로754번길 15,127.3830594,36.61978877,10266
KL구미AS,경북 구미시 구미대로 198,128.3633036,36.10427536,9545
